tenure_months,monthly_charges,usage_minutes,support_calls,payment_delay_days,contract_type,autopay,num_services,satisfaction_score,signup_channel,marketing_segment,churn
14,117.24,665,8,8.5,one-year,0,4,4.0,partner,B,1
32,85.53,479,1,4.3,month-to-month,0,4,7.0,referral,A,0
72,65.56,393,0,0.0,month-to-month,1,6,10.0,organic,A,0
37,96.67,761,3,5.2,two-year,0,4,6.0,organic,A,0
1,35.11,509,2,4.3,month-to-month,1,2,9.0,partner,A,0
20,80.04,464,4,0.0,month-to-month,1,3,8.0,organic,B,0
24,32.26,564,6,12.1,month-to-month,1,3,6.0,partner,B,0
54,140.32,580,4,5.2,month-to-month,0,2,4.0,referral,A,0
47,53.89,338,3,4.0,month-to-month,0,2,6.0,ads,B,0
5,69.47,280,5,11.7,one-year,0,2,5.0,partner,C,1
72,95.8,292,3,8.0,two-year,1,1,5.0,referral,A,0
46,50.31,428,1,0.3,month-to-month,1,2,10.0,referral,B,0
44,59.2,410,2,6.8,one-year,0,1,3.0,partner,A,0
37,137.11,339,4,0.0,month-to-month,1,5,8.0,referral,C,0
6,128.24,299,2,0.0,month-to-month,0,5,6.0,ads,A,0
27,45.6,581,4,6.1,one-year,1,3,9.0,ads,A,0
1,72.93,343,4,6.2,two-year,0,3,4.0,organic,A,0
72,80.69,273,1,5.3,one-year,0,4,4.0,organic,C,0
26,107.08,374,5,6.6,month-to-month,1,1,7.0,referral,B,0
33,117.21,304,3,3.0,one-year,0,4,7.0,organic,B,0
45,140.42,316,3,0.0,month-to-month,0,5,5.0,ads,C,1
45,89.86,418,1,5.8,two-year,1,2,6.0,organic,B,0
31,115.75,493,3,7.4,one-year,0,2,8.0,ads,A,0
43,132.04,809,1,4.8,month-to-month,1,3,4.0,organic,B,0
39,131.1,650,4,4.7,month-to-month,1,2,7.0,organic,C,0
11,135.14,252,5,10.8,month-to-month,1,2,4.0,partner,A,1
54,61.86,395,5,1.0,month-to-month,0,4,5.0,partner,A,1
32,105.39,482,5,3.3,two-year,0,1,3.0,ads,B,0
48,109.31,472,5,8.1,month-to-month,0,4,5.0,partner,A,1
54,50.0,341,3,6.8,month-to-month,0,2,6.0,organic,A,0
36,140.63,530,1,0.0,one-year,1,5,8.0,organic,B,0
30,111.44,298,1,0.4,two-year,1,6,10.0,organic,A,0
34,40.6,343,6,7.9,one-year,1,1,4.0,partner,C,0
33,33.29,376,0,1.9,two-year,1,2,6.0,organic,A,0
47,111.92,336,6,2.7,month-to-month,1,2,10.0,organic,A,0
17,90.73,608,2,4.2,month-to-month,0,3,8.0,ads,A,0
18,120.14,480,2,5.3,month-to-month,1,2,6.0,partner,C,0
41,61.35,486,9,4.8,month-to-month,0,4,2.0,ads,A,1
34,56.14,346,5,0.0,month-to-month,1,2,10.0,referral,C,0
5,49.31,759,4,10.2,month-to-month,1,1,4.0,organic,B,1
55,28.21,252,2,8.6,one-year,1,5,6.0,referral,B,0
17,46.93,534,2,3.7,month-to-month,0,3,8.0,partner,A,0
34,102.63,674,1,7.5,one-year,1,6,8.0,organic,B,0
41,56.73,475,3,9.3,two-year,0,4,4.0,referral,A,0
46,61.21,446,3,4.5,month-to-month,0,3,6.0,ads,B,1
63,46.15,378,5,4.4,one-year,1,4,6.0,ads,B,0
29,82.56,503,4,5.0,month-to-month,0,1,2.0,referral,C,1
49,88.74,415,3,1.0,one-year,0,5,5.0,organic,B,0
35,146.73,635,4,0.0,two-year,1,4,6.0,organic,C,0
8,83.71,346,6,9.2,month-to-month,0,1,2.0,ads,A,1
63,111.24,326,3,4.5,month-to-month,1,3,9.0,ads,B,0
35,86.68,296,2,0.0,month-to-month,1,3,6.0,organic,A,1
28,136.86,625,3,15.1,month-to-month,1,4,6.0,organic,A,0
35,63.2,486,0,8.9,one-year,0,2,4.0,partner,A,0
19,109.66,604,4,0.0,month-to-month,0,3,8.0,organic,A,0
49,59.76,380,2,3.6,month-to-month,0,2,4.0,organic,B,1
48,126.02,236,3,0.0,month-to-month,1,1,3.0,ads,B,1
23,59.03,557,2,0.0,one-year,0,2,10.0,referral,B,0
53,43.88,537,3,3.4,month-to-month,1,3,7.0,organic,A,0
9,140.61,331,3,6.9,month-to-month,1,2,8.0,organic,C,0
60,136.67,293,3,0.0,one-year,0,4,8.0,ads,B,0
30,105.34,331,4,0.4,one-year,0,3,10.0,partner,C,0
35,51.36,391,1,5.9,one-year,1,2,9.0,referral,A,0
55,60.73,435,2,3.7,one-year,0,3,8.0,organic,B,0
61,113.42,483,0,0.4,one-year,1,2,10.0,ads,C,0
60,38.68,368,2,6.4,two-year,1,4,10.0,organic,A,0
16,66.2,688,4,2.9,month-to-month,1,1,7.0,referral,B,0
72,149.08,685,0,0.0,two-year,1,4,7.0,ads,B,0
46,104.7,459,2,2.9,month-to-month,1,4,8.0,organic,A,0
57,31.7,464,0,0.7,month-to-month,0,4,3.0,referral,B,1
45,129.98,342,5,1.7,month-to-month,0,2,8.0,partner,B,0
55,23.23,575,1,2.3,two-year,1,5,10.0,referral,A,0
7,146.35,448,6,9.8,one-year,1,1,7.0,ads,A,0
46,146.44,240,1,0.0,month-to-month,1,4,10.0,organic,B,0
66,62.76,343,3,6.3,one-year,1,2,7.0,referral,B,0
40,91.6,429,2,6.6,month-to-month,1,1,4.0,ads,C,0
31,31.77,565,1,0.4,month-to-month,0,5,5.0,referral,C,0
1,61.87,110,8,9.0,month-to-month,0,1,6.0,organic,B,0
40,104.06,468,0,0.0,month-to-month,0,4,7.0,referral,B,0
42,93.05,419,0,0.7,one-year,1,4,8.0,referral,B,0
25,24.05,354,4,13.4,one-year,1,4,6.0,referral,A,0
45,49.31,364,2,0.0,month-to-month,1,2,4.0,organic,C,1
72,146.54,552,2,0.6,one-year,1,2,6.0,organic,A,0
45,120.54,419,6,9.4,month-to-month,0,1,6.0,ads,B,0
30,116.27,102,3,9.5,month-to-month,0,1,4.0,ads,A,1
27,77.49,412,0,5.7,two-year,1,3,9.0,ads,C,1
54,39.65,492,0,2.0,two-year,1,4,10.0,partner,A,0
71,121.71,333,2,6.7,one-year,0,4,7.0,organic,A,0
54,39.89,193,4,5.1,one-year,1,4,9.0,ads,C,0
58,136.47,575,2,3.9,month-to-month,1,2,9.0,referral,A,0
32,27.38,359,4,4.8,month-to-month,0,3,5.0,partner,B,1
36,114.84,449,7,8.0,one-year,1,2,4.0,ads,B,0
15,66.05,168,1,0.0,month-to-month,1,4,9.0,referral,C,0
53,94.16,574,1,0.0,two-year,1,1,9.0,organic,B,0
42,33.83,257,2,9.7,one-year,1,3,9.0,organic,A,0
45,27.49,593,6,4.4,month-to-month,0,3,5.0,ads,C,1
61,134.42,336,0,2.4,two-year,1,4,9.0,referral,C,0
5,146.25,472,3,7.7,one-year,0,3,5.0,ads,B,0
38,124.34,531,2,1.4,month-to-month,1,4,4.0,ads,B,0
28,91.19,257,1,0.0,month-to-month,1,3,10.0,organic,C,0
36,86.83,495,0,0.9,month-to-month,1,5,10.0,referral,A,0
34,142.47,508,3,3.0,two-year,1,4,6.0,referral,B,0
49,43.43,182,5,1.3,two-year,0,2,9.0,referral,C,0
60,130.21,359,2,0.0,one-year,1,1,4.0,ads,A,0
44,144.4,234,4,7.1,month-to-month,0,3,8.0,ads,B,0
52,90.9,145,1,0.0,two-year,0,5,6.0,referral,C,0
13,45.53,390,5,13.0,month-to-month,0,3,3.0,partner,B,1
34,77.4,380,2,9.4,month-to-month,0,3,3.0,referral,B,1
49,95.49,329,5,0.0,one-year,1,2,5.0,partner,A,0
1,53.55,306,6,8.1,month-to-month,0,3,6.0,ads,A,0
42,138.85,207,1,1.3,two-year,1,2,6.0,referral,B,0
18,92.39,420,4,5.4,month-to-month,1,3,5.0,ads,A,1
72,51.06,499,0,2.6,two-year,1,5,10.0,organic,A,0
53,61.54,466,4,0.0,month-to-month,1,4,10.0,organic,A,0
31,104.01,203,3,4.5,month-to-month,1,1,8.0,ads,B,1
12,135.42,517,3,3.8,one-year,0,3,4.0,partner,B,1
50,65.5,555,6,0.0,month-to-month,0,3,10.0,organic,B,0
40,26.05,729,8,7.6,two-year,0,2,3.0,ads,C,1
47,39.39,325,1,9.9,one-year,0,3,6.0,partner,A,0
15,20.05,502,7,9.0,month-to-month,0,4,6.0,ads,B,1
11,119.17,628,1,7.9,one-year,0,3,8.0,referral,A,0
47,52.25,498,2,5.7,month-to-month,0,4,9.0,referral,C,1
33,119.12,816,2,0.0,month-to-month,0,2,7.0,referral,C,0
33,139.24,386,5,2.9,month-to-month,1,1,4.0,ads,A,0
14,51.21,360,6,3.4,month-to-month,1,4,10.0,ads,C,1
21,125.27,182,2,6.8,one-year,0,1,5.0,referral,B,0
66,70.74,413,3,4.5,month-to-month,1,3,7.0,partner,B,0
52,103.09,426,1,0.0,one-year,1,3,5.0,partner,B,0
38,119.16,459,6,0.0,one-year,0,4,8.0,referral,B,0
71,80.07,490,4,0.0,month-to-month,1,2,8.0,referral,B,0
1,42.66,397,5,2.1,two-year,0,1,4.0,ads,A,1
21,21.18,461,5,0.0,one-year,1,3,8.0,ads,C,0
28,21.19,385,1,6.5,month-to-month,0,3,7.0,organic,C,0
40,86.23,496,3,1.1,month-to-month,0,3,7.0,partner,C,0
47,131.44,245,1,0.0,two-year,0,4,6.0,organic,B,0
4,84.5,330,1,7.6,one-year,0,1,4.0,ads,C,0
45,53.85,463,4,1.8,one-year,1,4,6.0,organic,A,0
27,38.11,515,2,0.0,two-year,0,1,6.0,partner,A,0
51,62.81,402,7,0.0,month-to-month,1,1,6.0,organic,A,1
18,136.16,375,9,6.9,month-to-month,0,3,8.0,organic,B,1
33,82.98,391,0,2.8,month-to-month,0,3,8.0,ads,C,0
34,36.11,307,3,0.0,month-to-month,1,1,5.0,referral,A,0
62,50.94,390,0,7.2,two-year,1,6,10.0,partner,B,0
20,149.48,557,4,3.1,month-to-month,0,1,8.0,ads,C,1
21,89.63,406,6,9.7,month-to-month,1,2,4.0,ads,A,1
31,33.03,384,4,6.7,two-year,0,3,6.0,ads,B,0
38,65.54,396,2,5.9,one-year,1,2,7.0,ads,A,0
45,25.37,656,1,5.1,month-to-month,0,3,4.0,partner,B,0
30,24.52,533,6,0.8,one-year,1,2,5.0,ads,B,1
14,125.21,532,2,16.9,month-to-month,0,2,6.0,organic,A,1
25,24.72,490,2,2.3,one-year,0,4,5.0,ads,C,1
39,126.22,493,3,6.8,month-to-month,1,3,8.0,partner,B,0
47,21.81,533,2,0.0,one-year,1,4,10.0,organic,C,0
27,106.68,647,5,1.3,month-to-month,0,2,8.0,ads,B,1
31,124.78,446,6,10.7,one-year,1,3,9.0,ads,B,0
2,54.36,448,1,13.0,one-year,0,3,5.0,ads,A,0
46,59.26,600,2,5.9,one-year,1,1,7.0,partner,A,0
29,143.04,440,2,9.8,month-to-month,0,1,6.0,partner,C,1
58,52.86,554,0,0.0,two-year,1,3,7.0,referral,B,0
15,38.68,375,8,12.0,month-to-month,0,3,5.0,ads,A,1
6,45.84,241,2,7.7,one-year,1,4,3.0,referral,B,0
34,37.76,252,1,4.9,month-to-month,1,5,7.0,organic,C,0
35,28.28,644,3,10.0,month-to-month,0,3,4.0,ads,A,1
72,121.76,789,0,0.0,two-year,1,4,9.0,ads,B,0
9,47.22,427,3,2.2,month-to-month,0,3,8.0,organic,C,0
25,115.63,350,2,12.9,one-year,1,1,5.0,referral,B,0
43,23.13,466,5,0.0,month-to-month,0,4,8.0,ads,A,0
5,47.28,334,4,11.9,one-year,0,1,3.0,ads,C,1
36,44.33,680,1,2.3,month-to-month,0,2,8.0,ads,A,0
17,34.97,321,4,6.9,one-year,0,1,5.0,ads,B,1
36,117.22,250,0,0.0,two-year,1,3,4.0,partner,C,0
23,112.24,438,5,14.7,one-year,1,2,6.0,ads,B,0
24,127.46,510,4,0.0,month-to-month,1,2,2.0,referral,C,1
39,103.88,415,7,5.4,one-year,0,1,3.0,referral,A,1
46,91.69,604,1,0.0,two-year,1,6,8.0,organic,A,0
19,144.26,431,2,9.3,two-year,0,2,4.0,ads,A,1
72,75.11,372,1,0.0,month-to-month,1,4,8.0,partner,A,0
60,115.14,766,2,0.0,two-year,1,4,6.0,ads,C,0
14,45.54,473,0,0.0,one-year,1,3,5.0,partner,B,0
29,123.54,335,2,0.0,month-to-month,1,2,10.0,ads,B,0
44,113.21,283,1,3.1,one-year,0,3,6.0,organic,A,0
18,61.31,273,9,16.9,month-to-month,0,2,1.0,organic,A,1
10,145.01,36,3,4.0,month-to-month,1,2,5.0,ads,A,0
64,134.08,584,2,2.8,month-to-month,1,4,6.0,referral,A,0
48,121.63,403,2,8.6,two-year,1,1,5.0,referral,B,0
26,85.74,518,4,5.5,month-to-month,0,2,6.0,ads,A,0
56,92.74,448,2,8.6,month-to-month,0,4,6.0,ads,B,0
63,129.76,107,1,6.5,one-year,1,5,7.0,ads,A,0
58,99.7,389,1,0.0,month-to-month,0,2,9.0,ads,B,0
59,85.68,400,2,8.7,month-to-month,1,3,8.0,ads,B,0
64,62.58,606,3,0.0,two-year,1,6,9.0,organic,A,0
19,85.64,544,5,2.0,month-to-month,0,6,2.0,partner,A,1
25,21.42,398,7,13.6,month-to-month,0,2,2.0,partner,A,1
15,133.6,415,2,8.1,one-year,1,1,5.0,partner,A,1
62,105.32,322,0,0.0,month-to-month,0,6,8.0,ads,C,0
40,113.83,302,0,13.8,month-to-month,0,4,6.0,organic,A,0
12,82.39,322,2,3.4,month-to-month,0,5,4.0,organic,B,1
31,145.87,393,1,9.3,two-year,1,5,4.0,organic,C,0
63,112.42,435,2,0.0,one-year,1,2,10.0,referral,B,0
49,148.33,384,0,1.0,one-year,1,5,9.0,referral,B,0
67,148.74,464,0,0.0,two-year,1,5,10.0,referral,A,1
46,85.21,363,4,4.8,one-year,0,4,6.0,referral,C,0
39,133.66,510,5,0.0,two-year,1,3,7.0,ads,C,0
21,87.06,676,3,9.7,month-to-month,0,4,4.0,ads,C,1
72,47.68,583,2,0.0,one-year,1,4,7.0,referral,B,0
29,24.22,286,8,5.7,month-to-month,1,2,2.0,ads,B,1
42,66.5,345,2,5.7,two-year,0,4,8.0,referral,C,0
8,112.44,584,4,9.4,one-year,0,2,5.0,organic,B,1
39,46.46,208,6,2.7,one-year,1,3,7.0,referral,A,0
31,96.66,382,3,7.4,month-to-month,0,1,7.0,organic,C,0
48,73.55,426,5,5.9,month-to-month,0,2,4.0,organic,B,1
30,121.31,384,3,2.2,month-to-month,0,1,8.0,partner,C,0
2,133.1,391,4,2.4,month-to-month,1,2,7.0,referral,A,0
20,88.63,462,1,0.0,month-to-month,0,2,9.0,referral,B,0
34,97.42,427,1,7.3,month-to-month,0,1,9.0,organic,C,0
30,31.06,314,5,2.1,month-to-month,0,3,10.0,referral,B,0
57,114.15,647,0,1.2,two-year,0,5,10.0,ads,B,0
32,26.71,419,8,2.0,month-to-month,0,1,7.0,partner,B,1
25,88.32,468,3,5.5,one-year,1,3,7.0,partner,A,0
32,38.64,380,5,4.3,month-to-month,1,4,5.0,partner,B,0
37,64.84,425,0,1.8,month-to-month,1,2,7.0,organic,B,0
38,87.72,322,2,9.3,two-year,1,2,8.0,organic,A,0
21,124.81,258,3,9.9,month-to-month,0,5,4.0,partner,B,1
36,20.16,508,5,2.3,month-to-month,1,4,8.0,ads,A,0
18,49.54,301,5,0.9,month-to-month,0,3,5.0,partner,B,0
41,107.85,382,1,0.0,two-year,1,3,6.0,ads,C,0
55,49.05,652,0,6.5,month-to-month,0,3,7.0,organic,B,1
30,34.6,587,2,4.7,one-year,0,1,8.0,referral,A,0
41,95.89,320,5,1.5,month-to-month,1,2,5.0,referral,C,0
48,45.11,476,3,5.8,two-year,0,4,5.0,ads,B,0
55,43.27,234,5,0.5,two-year,1,3,8.0,organic,B,0
59,86.73,587,1,5.4,one-year,0,6,9.0,referral,C,0
33,90.78,431,2,3.6,month-to-month,0,2,5.0,organic,A,1
54,88.19,572,0,4.3,month-to-month,1,1,8.0,ads,C,0
12,129.02,456,5,13.0,month-to-month,0,3,2.0,partner,B,1
44,28.88,366,1,0.8,one-year,0,4,4.0,ads,B,0
45,37.05,384,4,1.1,month-to-month,1,2,5.0,ads,C,1
20,57.83,370,2,5.0,month-to-month,0,4,6.0,referral,A,0
38,74.25,478,3,7.4,month-to-month,1,2,5.0,organic,A,0
29,29.08,320,1,3.6,month-to-month,0,4,5.0,ads,C,1
38,42.19,421,2,0.0,month-to-month,1,4,8.0,organic,C,0
27,111.59,435,1,0.5,month-to-month,0,3,7.0,organic,B,0
12,78.9,214,5,14.5,month-to-month,0,3,3.0,partner,B,1
25,141.68,276,8,18.7,month-to-month,0,3,2.0,ads,C,1
42,64.59,202,2,7.0,month-to-month,1,6,4.0,organic,B,0
47,145.03,382,6,6.9,month-to-month,1,3,4.0,organic,A,0
12,95.16,408,5,13.7,month-to-month,0,1,3.0,partner,A,1
49,52.42,515,2,8.3,one-year,1,2,4.0,ads,B,0
27,22.24,306,4,8.5,month-to-month,1,4,5.0,organic,B,0
36,144.78,247,1,2.5,one-year,1,3,8.0,organic,C,0
51,108.37,350,2,6.6,two-year,0,2,8.0,ads,A,0
33,100.97,470,3,3.4,two-year,0,3,9.0,referral,B,0
27,59.2,643,4,2.0,month-to-month,1,5,7.0,ads,A,1
1,84.75,433,2,12.5,month-to-month,0,1,6.0,organic,A,1
54,20.76,285,3,2.9,month-to-month,1,1,4.0,referral,C,1
14,90.64,473,2,0.0,one-year,1,5,10.0,referral,A,0
31,52.54,434,3,7.2,month-to-month,0,4,8.0,referral,A,0
72,101.78,424,1,0.0,one-year,0,3,10.0,organic,A,0
22,23.0,246,4,11.0,one-year,0,1,2.0,ads,C,1
47,142.6,472,1,3.5,month-to-month,1,5,8.0,organic,A,0
31,121.85,359,5,7.8,month-to-month,0,3,7.0,ads,C,0
26,146.83,358,4,1.4,one-year,0,3,8.0,partner,A,1
27,47.95,537,3,0.0,one-year,0,3,8.0,ads,A,0
35,56.42,496,2,0.0,one-year,0,5,5.0,organic,B,0
22,56.69,272,8,10.8,two-year,1,2,4.0,referral,B,0
36,29.35,615,3,2.9,two-year,1,2,7.0,referral,B,0
1,118.29,556,3,7.1,month-to-month,0,2,6.0,organic,B,1
62,57.85,310,3,0.0,month-to-month,1,3,8.0,organic,B,0
39,77.47,136,1,5.5,month-to-month,0,1,8.0,partner,A,0
34,89.88,466,4,11.0,month-to-month,0,2,5.0,ads,C,1
50,103.73,455,1,2.1,one-year,1,3,6.0,organic,C,0
39,86.61,299,1,0.6,month-to-month,1,3,10.0,referral,B,0
24,33.73,657,6,16.2,one-year,1,2,8.0,organic,C,1
12,92.74,406,2,10.2,one-year,1,3,5.0,referral,B,0
72,26.99,415,4,0.0,month-to-month,1,4,3.0,ads,A,1
43,51.9,464,5,0.0,month-to-month,1,6,7.0,partner,B,0
60,120.78,579,3,9.2,one-year,0,4,10.0,referral,A,0
40,66.04,458,1,2.0,one-year,1,4,9.0,organic,B,0
49,126.76,430,3,4.7,one-year,1,2,6.0,partner,B,0
72,62.25,232,3,4.1,month-to-month,1,3,9.0,partner,A,0
36,28.38,417,3,2.4,one-year,1,5,8.0,referral,B,0
36,65.82,595,1,0.0,month-to-month,0,5,9.0,ads,B,0
25,95.18,333,5,9.1,month-to-month,0,4,8.0,ads,B,0
12,90.11,437,2,1.4,one-year,1,3,6.0,referral,A,0
33,130.58,19,4,8.0,one-year,0,3,5.0,ads,A,0
48,109.82,605,4,2.0,month-to-month,0,4,8.0,organic,B,0
37,76.9,406,1,6.6,two-year,0,3,7.0,partner,B,0
35,119.32,399,2,4.5,month-to-month,1,1,5.0,ads,C,0
43,40.93,488,7,0.0,month-to-month,0,3,4.0,organic,B,0
48,86.06,459,4,9.3,month-to-month,1,1,5.0,referral,B,0
30,45.53,474,0,0.0,two-year,1,5,9.0,referral,C,0
49,109.69,269,4,6.4,month-to-month,1,3,9.0,organic,B,1
72,61.89,592,4,3.2,one-year,1,4,7.0,referral,A,0
11,122.97,571,6,7.9,month-to-month,0,3,6.0,organic,C,1
24,51.47,464,6,4.7,one-year,0,4,4.0,organic,C,0
72,137.91,622,1,0.0,month-to-month,1,4,10.0,ads,A,0
63,95.49,424,4,1.4,one-year,1,5,10.0,partner,B,0
46,93.79,359,3,0.0,two-year,1,5,8.0,organic,A,0
32,149.04,456,2,8.1,month-to-month,1,2,6.0,partner,C,0
33,46.67,576,4,3.3,two-year,0,1,7.0,referral,A,0
5,51.12,366,4,0.4,month-to-month,0,3,4.0,ads,A,1
30,130.22,357,1,12.7,month-to-month,1,3,7.0,partner,A,0
44,107.87,283,2,2.1,month-to-month,0,2,9.0,organic,A,0
32,105.41,419,4,6.7,month-to-month,1,3,5.0,ads,C,1
32,131.13,447,2,0.0,month-to-month,1,3,10.0,ads,A,0
15,141.51,286,5,5.9,month-to-month,1,4,7.0,ads,B,0
39,96.45,161,4,6.0,month-to-month,1,3,6.0,referral,B,1
48,52.62,372,0,1.6,month-to-month,1,3,9.0,ads,B,0
38,54.87,454,2,6.2,month-to-month,1,3,6.0,organic,B,0
1,133.9,642,4,8.7,one-year,0,1,2.0,ads,B,1
45,39.17,522,2,0.0,month-to-month,0,4,6.0,partner,C,0
14,74.35,731,5,5.4,month-to-month,0,1,4.0,ads,B,1
72,40.85,357,3,8.8,one-year,1,5,9.0,referral,A,0
45,108.97,481,1,4.8,one-year,1,5,6.0,ads,B,0
52,106.5,406,2,2.5,month-to-month,0,4,8.0,ads,C,0
43,136.83,745,2,6.2,two-year,1,3,6.0,organic,B,0
32,70.79,499,5,3.2,month-to-month,0,1,3.0,partner,A,1
61,49.88,115,2,0.0,one-year,0,6,10.0,referral,B,0
46,67.33,340,3,0.0,month-to-month,0,5,6.0,organic,A,0
26,110.64,225,2,12.2,month-to-month,1,4,3.0,referral,B,1
40,32.52,590,3,4.1,month-to-month,0,6,6.0,organic,B,0
27,30.86,315,4,4.1,month-to-month,0,4,8.0,organic,C,0
36,143.12,475,3,3.7,month-to-month,0,4,2.0,ads,B,0
27,31.19,400,4,7.0,one-year,0,3,4.0,referral,B,0
34,145.18,368,2,1.1,month-to-month,1,3,3.0,ads,A,0
23,114.26,295,3,6.5,one-year,0,4,4.0,organic,A,0
52,82.76,356,2,0.0,two-year,1,2,8.0,organic,B,0
30,28.13,427,2,4.5,month-to-month,0,4,5.0,organic,C,1
40,75.76,378,5,6.2,month-to-month,1,1,10.0,organic,B,0
70,136.61,487,7,12.7,one-year,1,1,4.0,ads,C,1
19,102.54,194,8,3.2,month-to-month,0,2,4.0,organic,A,1
49,63.12,231,4,5.6,month-to-month,0,5,8.0,referral,B,1
20,83.28,518,5,12.4,month-to-month,0,2,2.0,ads,B,1
31,99.08,286,1,3.3,month-to-month,0,3,7.0,ads,A,0
39,51.21,217,3,5.7,one-year,0,1,4.0,ads,A,0
55,117.54,457,2,0.0,month-to-month,1,6,10.0,referral,B,0
63,105.89,397,2,0.0,month-to-month,1,4,8.0,referral,A,0
32,105.0,531,8,6.8,two-year,0,3,3.0,referral,A,0
37,119.54,79,0,0.0,month-to-month,0,6,10.0,referral,B,0
31,115.69,194,2,0.0,month-to-month,0,1,9.0,organic,C,1
26,88.14,487,3,3.7,one-year,0,5,7.0,referral,B,0
46,132.04,490,6,4.7,month-to-month,1,1,5.0,ads,C,1
21,84.13,521,6,6.6,month-to-month,0,2,10.0,organic,B,0
46,63.37,499,2,7.5,two-year,1,5,10.0,referral,A,0
23,57.13,428,2,2.0,one-year,0,4,7.0,referral,A,1
72,35.86,342,4,1.9,month-to-month,1,4,6.0,ads,B,0
1,116.2,176,5,7.4,month-to-month,0,2,4.0,organic,C,1
25,24.29,672,1,5.7,month-to-month,0,4,2.0,organic,C,0
52,124.92,293,4,1.4,two-year,1,4,6.0,partner,A,0
53,130.83,572,1,2.0,one-year,1,5,10.0,referral,B,0
35,101.38,341,5,4.5,month-to-month,0,2,4.0,partner,A,1
60,52.67,389,0,0.0,month-to-month,0,5,8.0,referral,B,0
72,46.11,313,0,6.4,two-year,1,6,10.0,organic,C,0
57,29.53,429,3,7.7,two-year,1,6,6.0,partner,A,0
40,137.15,484,1,0.0,month-to-month,0,2,6.0,ads,B,0
37,84.8,196,4,5.9,two-year,0,2,4.0,organic,B,0
20,69.58,486,4,6.6,month-to-month,0,1,3.0,organic,B,0
23,148.95,634,2,4.3,one-year,0,2,8.0,referral,A,0
58,30.38,487,2,0.0,month-to-month,1,6,7.0,referral,C,0
41,121.88,524,4,0.3,month-to-month,0,5,3.0,partner,A,0
27,132.27,397,2,2.8,one-year,1,3,7.0,referral,B,0
32,123.67,352,2,3.0,two-year,1,2,5.0,referral,A,0
11,133.03,452,7,7.5,month-to-month,0,2,2.0,partner,A,0
25,59.81,278,0,5.8,month-to-month,0,3,7.0,partner,B,0
32,143.83,384,2,7.6,one-year,1,1,7.0,organic,C,0
72,134.38,202,2,1.9,month-to-month,1,4,9.0,referral,A,0
31,104.57,271,2,0.0,month-to-month,1,4,8.0,ads,B,1
7,138.06,573,5,4.5,month-to-month,0,1,4.0,partner,C,1
60,127.86,97,3,3.1,one-year,0,3,8.0,ads,B,0
10,126.38,517,8,13.5,month-to-month,0,3,3.0,partner,B,1
30,31.66,681,2,0.0,one-year,0,4,10.0,organic,A,0
23,88.38,452,1,6.0,month-to-month,0,2,6.0,referral,B,0
30,64.65,295,1,0.0,two-year,1,3,6.0,referral,C,0
72,43.99,500,2,0.0,month-to-month,1,6,8.0,referral,A,0
34,100.52,233,6,17.1,month-to-month,0,4,6.0,ads,A,1
36,105.37,316,5,9.3,month-to-month,1,1,4.0,ads,C,1
41,63.13,247,7,1.7,month-to-month,0,4,4.0,partner,B,1
63,96.33,248,1,0.0,two-year,1,3,7.0,referral,B,0
7,125.63,534,6,14.3,month-to-month,0,3,6.0,ads,B,1
1,112.31,396,6,8.7,month-to-month,0,2,1.0,ads,C,1
16,58.23,500,6,1.6,month-to-month,1,1,5.0,ads,A,1
39,149.81,450,2,0.0,month-to-month,0,4,9.0,ads,A,0
61,133.54,220,1,0.9,month-to-month,1,5,8.0,referral,A,1
32,119.52,382,8,7.9,one-year,0,3,6.0,ads,A,0
51,147.9,296,0,4.0,month-to-month,1,3,8.0,ads,A,0
33,129.13,358,3,0.0,month-to-month,1,5,10.0,referral,B,0
21,119.98,409,4,18.8,one-year,0,2,3.0,partner,A,1
13,130.34,380,0,3.2,month-to-month,0,3,6.0,referral,A,0
40,33.2,447,4,3.5,two-year,1,4,8.0,referral,A,0
52,95.26,437,2,0.0,month-to-month,0,4,9.0,organic,A,0
27,60.06,290,2,7.8,one-year,0,2,6.0,organic,C,0
45,82.93,434,1,8.3,month-to-month,1,4,6.0,organic,C,0
1,133.35,646,5,8.0,month-to-month,0,1,3.0,organic,A,1
3,61.53,349,2,0.0,one-year,1,2,8.0,partner,B,0
50,32.19,230,0,1.1,two-year,1,3,9.0,ads,C,0
50,27.67,388,6,14.5,one-year,0,3,6.0,partner,A,1
22,60.81,523,2,1.3,one-year,1,2,5.0,organic,B,0
60,52.85,505,3,12.8,one-year,1,3,7.0,ads,B,0
33,21.96,468,3,2.8,month-to-month,1,2,6.0,referral,B,0
18,64.46,626,2,0.0,month-to-month,1,3,9.0,referral,A,0
7,95.77,608,5,4.8,month-to-month,0,2,5.0,organic,B,1
34,78.6,567,4,0.0,month-to-month,0,3,8.0,organic,B,0
37,23.85,385,4,0.0,two-year,1,1,6.0,ads,C,0
18,40.6,785,3,5.1,month-to-month,1,4,6.0,ads,A,1
4,69.62,333,3,3.9,month-to-month,0,4,6.0,partner,C,0
26,125.93,536,1,7.7,two-year,0,2,10.0,partner,B,0
47,89.32,335,1,0.0,month-to-month,1,4,7.0,referral,B,0
11,93.61,520,5,4.2,month-to-month,0,3,1.0,organic,A,1
